Digest,Title,Date,Type,Jurisdiction or issuer,Source URL on the site,Downloader reason,What is actually there,Form,Is the named document,Direct PDF URL to retry,Corrected source URL,Note
Cookie Compliance,"IAB Multi-State Privacy Agreement (MSPA), Fifth Amended and Restated",4 June 2026,standard,United States (federal),https://www.iabprivacy.com/,url_control_chars,listing,html_with_pdf,no,https://www.iabprivacy.com/IAB Fifth Amended and Restated Multi-State Privacy Agreement (MSPA) (07.30.2026).pdf,,"Hub/resource page, not the agreement itself (matches packet's url_control_chars hint: the linked PDF filename contains spaces and parentheses). Actual MSPA text is the linked PDF."
Cookie Compliance,ICO Guidance on the use of storage and access technologies (final version),29 April 2026,regulator guidance,United Kingdom,https://ico.org.uk/for-organisations/direct-marketing-and-privacy-and-electronic-communications/guidance-on-the-use-of-storage-and-access-technologies/,no_pdf_link,listing,html,no,,,"Hub page linking out to multiple sub-guidance pages (what the tech is, PECR rules, consent, ads); no single full-guidance document here."
Cookie Compliance,Kenya Data Protection Act 2019 and Data Protection (General) Regulations 2021 (direct marketing),25 November 2019,legislation,Kenya,https://www.odpc.go.ke/,no_pdf_link,listing,html,no,,,"URL is the ODPC homepage/portal, not the Act or the direct-marketing Regulations text; a related PDF is mentioned in a news item but its link wasn't captured."
Cookie Compliance,PIPC and KCC Guideline on personal information protection in online customised advertising (behavioural information),7 February 2017,regulator guidance,South Korea,https://www.pipc.go.kr/np/cop/bbs/selectBoardList.do?bbsId=BS217&mCode=D010030000,no_pdf_link,listing,unknown,no,,,Paginated board listing 122 guideline PDFs; the specific PIPC/KCC online-advertising guideline was not visible on the current page and would need further search/pagination.
Cookie Compliance,PIPC sanctions Google and Meta for collecting behavioural information without consent,14 September 2022,enforcement,South Korea,https://www.pipc.go.kr/eng/user/ltn/new/noticeList.do?bbsId=BBSMSTR_000000000001&pageIndex=19,no_pdf_link,listing,unknown,no,,,"Paginated notice-list index (page 19), not the specific Google/Meta sanctions notice; attachments exist per row but no direct URL was surfaced."
Cookie Compliance,PIPC sanctions Meta for refusing service to users who declined behavioural data collection,9 March 2023,enforcement,South Korea,https://www.pipc.go.kr/eng/user/ltn/new/noticeList.do?bbsId=BBSMSTR_000000000001&pageIndex=18,no_pdf_link,listing,unknown,no,,,Generic paginated notice-list page; the specific Meta sanction notice is a separate linked item not identifiable from this URL alone.
Cookie Compliance,"Personal Information Protection Act (PIPA), as amended with effect from 15 September 2023",15 September 2023,legislation,South Korea,https://www.pipc.go.kr/eng/user/lgp/law/lawsRegulations.do,no_pdf_link,listing,unknown,no,,,Index table of PIPA-related laws/decrees with hit counts; the actual PIPA text requires following a row link not resolved by this fetch.
Cookie Compliance,"Rhode Island Data Transparency and Privacy Protection Act, R.I. Gen. Laws Chapter 6-48.1",1 January 2026,legislation,Rhode Island,https://webserver.rilegislature.gov/Statutes/TITLE6/6-48.1/INDEX.htm,timeout,listing,html,no,,,This is a table-of-contents index linking to ten separate section pages; the substantive chapter text is not on this page itself.
Cookie Compliance,"SB 690 (2025-2026), amendment of Cal. Penal Code 637.2 for pen register and trap and trace claims against websites and apps",4 September 2026,proposal,California,https://legiscan.com/CA/bill/SB690/2025,403,listing,unknown,no,,,"Bill-tracking page (sponsors, votes, actions) aggregating multiple bill versions; links out to the California legislature site for actual text, format not confirmed. Downloader's 403 did not reproduce."
Cookie Compliance,"Texas Data Privacy and Security Act, Tex. Bus. & Com. Code Chapter 541 (HB 4)",1 July 2024,legislation,Texas,https://www.texasattorneygeneral.gov/consumer-protection/file-consumer-complaint/consumer-privacy-rights,no_pdf_link,listing,html,no,,,"General AG hub page linking to several statutes (TDPSA, Data Broker Act, HIPAA, etc.); not the TDPSA text itself."
Cookie Compliance,"Utah Consumer Privacy Act, Utah Code 13-61-101 et seq. (SB 227)",31 December 2023,legislation,Utah,https://le.utah.gov/xcode/Title13/Chapter61/13-61.html,no_pdf_link,listing,unknown,no,,,"Only the site's navigation/header chrome was returned, not the statute text; page is likely frame- or JS-rendered and needs a browser to show the actual code sections."
Cookie Compliance,"Virginia Consumer Data Protection Act, Va. Code 59.1-575 to 59.1-584",1 January 2023,legislation,Virginia,https://law.lis.virginia.gov/vacode/title59.1/chapter53/,no_pdf_link,listing,html,no,,,Table of contents linking to individual sections (59.1-575 through 59.1-585); the chapter text itself is not on this page.
Cookie Compliance,"Washington My Health My Data Act, RCW Chapter 19.373 (HB 1155)",31 March 2024,legislation,Washington,https://app.leg.wa.gov/RCW/default.aspx?cite=19.373,no_pdf_link,listing,html_with_pdf,no,,,"Table of contents linking to 11 separate sections, each with its own HTML/PDF view; no single full-chapter document on this page."
Cookie Compliance,"ACCC Digital advertising services inquiry, final report",28 September 2021,regulator guidance,Australia,https://www.accc.gov.au/about-us/publications/digital-advertising-services-inquiry-final-report,403,ok,html_with_pdf,yes,https://www.accc.gov.au/system/files/Digital%20advertising%20services%20inquiry%20-%20final%20report.pdf,,Report landing page with a direct PDF link. 403 in packet did not reproduce.
Cookie Compliance,"Act respecting the protection of personal information in the private sector (Law 25 amendments), s. 8.1 and s. 9.1",22 September 2023,legislation,Quebec,https://www.legisquebec.gouv.qc.ca/en/document/cs/P-39.1,403,ok,html,yes,,,Loaded fine despite the downloader's 403; full statute text is in the page HTML.
Cookie Compliance,Apple App Tracking Transparency requirement (iOS 14.5),26 April 2021,standard,Standards,https://developer.apple.com/app-store/user-privacy-and-data-use/,no_pdf_link,ok,html,yes,,,"Page is Apple's general privacy/data-use page covering ATT among other topics, broader than a dedicated 'ATT requirement' document; HTML only."
Cookie Compliance,Apple WebKit Intelligent Tracking Prevention and full third-party cookie blocking,24 March 2020,standard,Standards,https://webkit.org/blog/10218/full-third-party-cookie-blocking-and-more/,no_pdf_link,ok,html,yes,,,"Live blog post matching the title, content is HTML only."
Cookie Compliance,"Argentina Personal Data Protection Law 25.326, Articles 5, 6 and 27",4 October 2000,legislation,Argentina,https://servicios.infoleg.gob.ar/infolegInternet/anexos/60000-64999/64790/norma.htm,no_pdf_link,ok,html,yes,,,Full text of Argentina's Law 25.326 is embedded as HTML.
Cookie Compliance,"Autoriteit Persoonsgegevens, more than 200 websites warned over misleading cookie banners; three quarters corrected, enforcement against the rest",11 November 2025,enforcement,Netherlands,https://privacy-web.nl/nieuws/ap-driekwart-websites-past-misleidende-cookiebanner-aan-na-waarschuwing-onderzoek-gestart-naar-weigeraars/,no_pdf_link,ok,html,yes,,,"Live news article matching the named AP story, hosted on a legal-news syndication site (PONT); HTML only."
Cookie Compliance,BfDI recognises the first consent management service under the EinwV (Consenter),17 October 2025,regulator guidance,Germany,https://datenschutzbeauftragter-hamburg.de/2025/11/erster-dienst-zur-einwilligungsverwaltung-anerkannt/,no_pdf_link,ok,html,yes,,,Live blog post on the first recognised EinwV consent-management service (Consenter); HTML only.
Cookie Compliance,BfDI recognition of consent management services under section 26 TDDDG,17 October 2025,regulator guidance,Germany,https://www.bfdi.bund.de/DE/Fachthemen/Inhalte/Telefon-Internet/Einwilligungsverwaltung/Einwilligungsverwaltung.html,ssl,ok,html,yes,,,"Live guidance page on consent-management-service recognition, matching the title; HTML only, no SSL problem reproduced."
Cookie Compliance,"Bill C-27, Digital Charter Implementation Act, 2022 (Consumer Privacy Protection Act)",16 June 2022,proposal,Canada,https://www.parl.ca/legisinfo/en/bill/44-1/c-27,no_pdf_link,ok,html,yes,,,"Live legislative tracking page for Bill C-27, HTML only; bill text itself linked separately, not extracted."
Cookie Compliance,"Bundesgerichtshof, judgment I ZR 7/16 (Cookie-Einwilligung II, Planet49)",28 May 2020,court decision,Germany,https://www.bundesgerichtshof.de/SharedDocs/Pressemitteilungen/DE/2020/2020067.html,ssl,ok,html_with_pdf,yes,,,"Live press release (packet's ssl hint did not reproduce) matching the ruling I ZR 7/16; main text is HTML, supplementary PDFs are linked at the bottom but no single URL was captured."
Cookie Compliance,"Bundesverwaltungsgericht (Austria), W171 2303402-1: ORF.at must give accept and reject buttons equal prominence",21 May 2026,court decision,Austria,https://noyb.eu/en/noyb-success-orfat-must-correct-misleading-cookie-banner,no_pdf_link,ok,html,no,,,"noyb's own summary/news article about the Austrian court case; links out to GDPRhub for the actual judgment text, which is not embedded here."
Cookie Compliance,"CJEU, Case C-40/17, Fashion ID GmbH & Co. KG v Verbraucherzentrale NRW eV",29 July 2019,court decision,EU,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX%3A62017CJ0040,not_pdf,ok,html,yes,,,"Full CJEU judgment (Case C-40/17, Fashion ID) embedded as HTML on this EUR-Lex URL variant; no PDF here."
Cookie Compliance,"CJEU, Case C-582/14, Patrick Breyer v Bundesrepublik Deutschland (dynamic IP addresses)",19 October 2016,court decision,EU,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX%3A62014CJ0582,not_pdf,ok,html,yes,,,"Full CJEU judgment text loaded as HTML, matches title."
Cookie Compliance,"CJEU, Case C-654/23, Inteligo Media SA v ANSPDCP (soft opt-in and free accounts)",13 November 2025,court decision,EU,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX%3A62023CJ0654,404,ok,html,yes,,,Full CJEU judgment text loads fine as HTML; the packet's 404 reason does not reproduce.
Cookie Compliance,"CNIL, 3.5 million euro fine for transmitting loyalty-member data to a social network and for eleven cookies placed before choice",30 December 2025,enforcement,France,https://www.cnil.fr/fr/transmission-de-donnees-un-reseau-social-des-fins-publicitaires-sanction,no_pdf_link,ok,html,yes,,,"Full sanction decision text (French) embedded directly as HTML, no separate PDF."
Cookie Compliance,"CNIL, American Express Carte France fined 1.5 million euros for cookies placed on arrival and read after refusal",27 November 2025,enforcement,France,https://www.cnil.fr/en/cookies-american-express-fined-eu15-million-cnil,no_pdf_link,ok,html,yes,,,CNIL news article text is on the page itself.
Cookie Compliance,"CNIL, Deliberation 2020-091: guidelines on cookies and other trackers (article 82 of the French Data Protection Act)",17 September 2020,regulator guidance,France,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000042388179,403,ok,html,yes,,,Loaded fine this time despite the downloader's 403; full deliberation text is in the page HTML.
Cookie Compliance,"CNIL, Deliberation SAN-2020-013: Amazon Europe Core fined 35 million euros for cookies on amazon.fr",7 December 2020,enforcement,France,https://www.legifrance.gouv.fr/cnil/id/CNILTEXT000042635729,403,ok,html,yes,,,"Full CNIL deliberation text embedded as HTML on Légifrance; no 403 seen, no PDF offered."
Cookie Compliance,"CNIL, Deliberation SAN-2022-027: TikTok fined 5 million euros for a banner without an equivalent refuse option",29 December 2022,enforcement,France,https://www.hunton.com/privacy-and-information-security-law/cnil-fines-tiktok-5-million-euros-over-cookie-infringements,no_pdf_link,ok,html,no,,,"Law-firm blog post discussing the CNIL action, not the official Deliberation SAN-2022-027 text itself."
Cookie Compliance,"CNIL, Yahoo EMEA fined 10 million euros for ignoring cookie refusals and tying withdrawal to loss of email access",29 December 2023,enforcement,France,https://www.strategies.fr/actualites/medias/LQ2794095C/la-cnil-sanctionne-yahoo-d-une-amende-de-10-millions-d-euros-pour-ses-cookies.html,no_pdf_link,ok,html,yes,,,News article matching the title; full text is on the page as HTML.
Cookie Compliance,"CNIL, first evaluation criteria for cookie walls and paywalls",16 May 2022,regulator guidance,France,https://www.cnil.fr/fr/cookie-walls-la-cnil-publie-des-premiers-criteres-devaluation,no_pdf_link,ok,html,yes,,,"Live CNIL article with the full evaluation criteria as HTML, no PDF."
Cookie Compliance,"CNIL, formal notices to website publishers over misleading cookie banners",12 December 2024,enforcement,France,https://www.cnil.fr/fr/bannieres-cookies-trompeuses-la-cnil-met-en-demeure-des-editeurs-de-sites-web,no_pdf_link,ok,html,yes,,,Full regulatory announcement live as HTML.
Cookie Compliance,"Cal. Code Regs. Title 11, section 7025, Opt-Out Preference Signals",29 March 2023,legislation,California,https://law.cornell.edu/regulations/california/11-CCR-7025,no_pdf_link,ok,html,yes,,,Full regulatory text on the page as HTML at Cornell LII.
Cookie Compliance,"California AB 566, the Opt Me Out Act (browser opt-out preference signal)",1 January 2027,legislation,California,https://www.hunton.com/privacy-and-cybersecurity-law-blog/california-enacts-first-in-nation-law-requiring-web-browser-opt-out-preference-signal,no_pdf_link,ok,html,yes,,,Live Hunton law-firm blog post on AB 566; HTML only.
Cookie Compliance,"California Consumer Privacy Act as amended by the CPRA, Cal. Civ. Code 1798.100 et seq. (sections 1798.120, 1798.135, 1798.155)",1 January 2025,legislation,California,https://law.justia.com/codes/california/code-civ/division-3/part-4/title-1-81-5/section-1798-135/,403,ok,html,yes,,,Full statutory text of Cal. Civ. Code section 1798.135 embedded as HTML; loaded fine now despite the earlier 403.
Cookie Compliance,"California Invasion of Privacy Act, Cal. Penal Code 631 (wiretapping), with 632 and 638.51 (pen register and trap and trace)",1 January 2026,legislation,California,https://law.justia.com/codes/california/code-pen/part-1/title-15/chapter-1-5/section-631/,403,ok,html,yes,,,"Loaded fine despite the downloader's 403; full text of Sec. 631 inline. Title also references 632 and 638.51, which are separate Justia pages not covered by this URL."
Cookie Compliance,"California Privacy Protection Agency, Delete Request and Opt-out Platform (DROP)",1 January 2026,regulator guidance,California,https://privacy.ca.gov/drop/,no_pdf_link,ok,html,yes,,,"Informational landing page for the DROP platform, gateway to consumer.drop.privacy.ca.gov; matches the named page."
Cookie Compliance,"California, Colorado and Connecticut joint investigative sweep on Global Privacy Control compliance",9 September 2025,enforcement,United States (multi-state),https://oag.ca.gov/news/press-releases/attorney-general-bonta-announces-joint-investigative-privacy-sweep%C2%A0co-ct-and-ca,no_pdf_link,ok,html,yes,,,"Live press release matching the title; HTML only, no PDF."
Cookie Compliance,"Children's Online Privacy Protection Rule, 16 CFR Part 312, 2025 final amendments",22 April 2025,legislation,United States (federal),https://www.federalregister.gov/documents/2025/04/22/2025-05904/childrens-online-privacy-protection-rule,no_pdf_link,ok,html_with_pdf,yes,https://www.govinfo.gov/content/pkg/FR-2025-04-22/pdf/2025-05904.pdf,,Full rule text renders as HTML on federalregister.gov; the official PDF is hosted on govinfo.gov.
Cookie Compliance,"Colorado Attorney General, Universal Opt-Out Mechanism list and Colorado Privacy Act Rules, 4 CCR 904-3",1 July 2024,regulator guidance,Colorado,https://coag.gov/opt-out/,no_pdf_link,ok,html,yes,,,Informational page and opt-out mechanism registry rendered as HTML.
Cookie Compliance,"Colorado Privacy Act, SB 21-190, C.R.S. 6-1-1301 et seq.",1 July 2023,legislation,Colorado,https://leg.colorado.gov/bills/sb21-190,403,ok,html,yes,,,"Live bill-tracking page (summary, sponsors, votes) as HTML; the statute text itself is not on this page."
Cookie Compliance,"Commissioner-initiated investigations into Medmate Australia and Monash IVF (tracking pixels), [2026] AICmr 40 and 41",11 June 2026,enforcement,Australia,https://www.oaic.gov.au/news/media-centre/privacy-commissioner-finds-privacy-breaches-in-third-party-tracking-pixel-investigation,no_pdf_link,ok,html,yes,,,"Live OAIC media release (Medmate/Monash IVF tracking pixels), HTML only; links out to the formal determinations separately."
Cookie Compliance,"Conseil d'Etat, decision no. 434684 on the CNIL's 2019 cookie guidelines (cookie walls)",19 June 2020,court decision,France,https://www.conseil-etat.fr/fr/arianeweb/CE/decision/2020-06-19/434684,no_pdf_link,ok,html,yes,,,Full judicial decision text rendered as HTML.
Cookie Compliance,"Conseil d'Etat, decision no. 449209: Google's 100 million euro cookie fine confirmed",28 January 2022,court decision,France,https://www.conseil-etat.fr/fr/arianeweb/CE/decision/2022-01-28/449209,no_pdf_link,ok,html,yes,,,"Full decision text (Google's EUR100m cookie fine, upheld) is on the page as HTML."
Cookie Compliance,"Cybersecurity Law, Article 22 and Article 41",1 June 2017,legislation,China,https://www.chinalawtranslate.com/en/cybersecuritylaw/,no_pdf_link,ok,html,yes,,,"Full translated statute text inline, including the cited Articles 22 and 41."
Cookie Compliance,"Data (Use and Access) Act 2025 (Commencement No. 6 and Transitional and Saving Provisions) Regulations 2026, SI 2026/82",5 February 2026,legislation,United Kingdom,https://www.legislation.gov.uk/uksi/2026/82/contents/made,not_pdf,ok,html_with_pdf,yes,https://www.legislation.gov.uk/uksi/2026/82/pdfs/uksi_20260082_en.pdf,,Table-of-contents landing page for the instrument; full text also available as PDF at the given URL.
Cookie Compliance,"Data (Use and Access) Act 2025 (Commencement No. 9 and Transitional and Saving Provisions) Regulations 2026, SI 2026/1015: abolition of the Information Commissioner and transfer to the Information Commission",30 September 2026,legislation,United Kingdom,https://www.legislation.gov.uk/uksi/2026/1015/contents/made,not_pdf,ok,html_with_pdf,yes,https://www.legislation.gov.uk/uksi/2026/1015/contents/made/data.pdf,,"This URL is the contents/TOC page for this specific SI; full text is available as HTML (data.html), PDF (data.pdf), or a single-page HTML at /made, all from the same page."
Cookie Compliance,"Data (Use and Access) Act 2025, section 112 and Schedule 12: new Schedule A1 to PECR (exceptions to the storage and access prohibition)",5 February 2026,legislation,United Kingdom,https://www.legislation.gov.uk/ukpga/2025/18/schedule/12/enacted,not_pdf,ok,html_with_pdf,yes,https://www.legislation.gov.uk/ukpga/2025/18/schedule/12/enacted/data.pdf,,Schedule 12 as enacted loads inline as HTML; a PDF/data version is also offered.
Cookie Compliance,"Data (Use and Access) Act 2025, section 115 and Schedule 13: PECR enforcement aligned with the Data Protection Act 2018",5 February 2026,legislation,United Kingdom,https://www.legislation.gov.uk/ukpga/2025/18/schedule/13,not_pdf,ok,html,yes,,,"Full schedule text inline as HTML; PDF/XML are offered only as standard alternate-format options in the sidebar, not the primary form. ""not_pdf"" hint confirmed: it is genuinely HTML-native."
Cookie Compliance,"Datatilsynet and Digitaliseringsstyrelsen, joint guidance on the use of cookies and similar technologies",15 May 2025,regulator guidance,Denmark,https://www.datatilsynet.dk/presse-og-nyheder/nyhedsarkiv/2025/maj/datatilsynet-og-digitaliseringsstyrelsen-udgiver-en-faelles-vejledning,url_control_chars,ok,html_with_pdf,yes,https://www.datatilsynet.dk/Media/638829899950476628/Fællesvejledning med DIGST - Cookie og lignende teknologier.pdf,,"Live news page linking to the joint guidance PDF. The PDF URL has literal spaces and a non-ASCII character (æ), which is almost certainly what the downloader's 'url_control_chars' flag was tripping on; needs percent-encoding to fetch."
Cookie Compliance,"Datatilsynet, guidance on the use of cookie walls (four criteria) following two decisions",20 February 2023,regulator guidance,Denmark,https://www.datatilsynet.dk/presse-og-nyheder/nyhedsarkiv/2023/feb/brug-af-cookie-walls,url_control_chars,ok,html,yes,,,"Live Datatilsynet news page (Gul og Gratis / Jysk Fynske Medier decisions), HTML only; the URL's control characters did not prevent the fetch here."
Cookie Compliance,"Delaware Personal Data Privacy Act, 6 Del. C. Chapter 12D",1 January 2025,legislation,Delaware,https://delcode.delaware.gov/title6/c012d/index.html,no_pdf_link,ok,html,yes,,,"Live statute text embedded as HTML, matches title."
Cookie Compliance,"Delete Act (SB 362), Cal. Civ. Code 1798.99.86, accessible deletion mechanism",1 August 2026,legislation,California,https://law.justia.com/codes/california/code-civ/division-3/part-4/title-1-81-48/section-1798-99-86/,403,ok,html,yes,,,Full statutory text rendered as HTML; a PDF downloader would never find a PDF here.
Cookie Compliance,"Denmark, Cookiebekendtgoerelsen (BEK nr 1148 af 9. december 2011) on information and consent for storage of or access to information on terminal equipment",14 December 2011,legislation,Denmark,https://www.retsinformation.dk/eli/lta/2011/1148,no_pdf_link,ok,viewer,,,,"Site is a JS single-page app; static fetch returns only an 'enable JavaScript' shell, so the actual Cookiebekendtgorelsen text could not be verified."
Cookie Compliance,"Digital Fairness Act initiative (dark patterns, addictive design, consent fatigue)",17 July 2025,proposal,EU,https://www.europarl.europa.eu/legislative-train/theme-protecting-our-democracy-upholding-our-values/file-digital-fairness-act,no_pdf_link,ok,html,yes,,,Legislative-tracking page with substantive content on the Digital Fairness Act initiative.
Cookie Compliance,"Digital Markets Act, Regulation (EU) 2022/1925, Article 5(2) (consent for combining and cross-using personal data)",2 May 2023,legislation,EU,https://eur-lex.europa.eu/eli/reg/2022/1925/oj,no_pdf_link,ok,viewer,yes,,,"Correct page for the Digital Markets Act, but only header/metadata came through the fetch; the operative article text appears to load via EUR-Lex's script-driven viewer rather than as static HTML."
Cookie Compliance,"Digital Services Act, Regulation (EU) 2022/2065, Article 25 (dark patterns), Article 26 (advertising transparency) and Article 28 (minors)",17 February 2024,legislation,EU,https://eur-lex.europa.eu/eli/reg/2022/2065/oj,no_pdf_link,ok,viewer,yes,,,"Correct EUR-Lex page for the DSA by title, but only the navigation/portal shell was retrieved; the full article text (incl. Art. 25/26) loads through EUR-Lex's own viewer and was not captured directly."
Cookie Compliance,EDPB Guidelines 05/2020 on consent under Regulation 2016/679,4 May 2020,regulator guidance,EU,https://www.edpb.europa.eu/our-work-tools/our-documents/guidelines/guidelines-052020-consent-under-regulation-2016679_en,incomplete_read,ok,html_with_pdf,yes,,,"Landing page lists two downloadable PDFs (main guidelines ~321KB, summary ~1.7MB) but exact file URLs weren't captured in the fetch summary."
Cookie Compliance,"EDPB Guidelines 8/2020 on the targeting of social media users, version 2.0",13 April 2021,regulator guidance,EU,https://www.edpb.europa.eu/our-work-tools/our-documents/guidelines/guidelines-82020-targeting-social-media-users_en,timeout,ok,html_with_pdf,yes,https://www.edpb.europa.eu/system/files/documents/2021-04/edpb_guidelines_082020_on_the_targeting_of_social_media_users_en.pdf,,Loaded fine despite the downloader's timeout; landing page carries a direct PDF link.
Cookie Compliance,EDPB Recommendations 2/2025 on the legal basis for requiring the creation of user accounts on e-commerce websites,3 December 2025,regulator guidance,EU,https://www.edpb.europa.eu/our-work-tools/documents/public-consultations/2025/recommendations-22025-legal-basis-requiring_en,incomplete_read,ok,html_with_pdf,yes,https://www.edpb.europa.eu/system/files/2025-12/edpb-recommendations-202502-mandatory-user-accounts_en.pdf,,"Consultation page also lists submitted stakeholder feedback, but the recommendations PDF itself is directly linked."
Cookie Compliance,EDPB Website Auditing Tool,29 January 2024,regulator guidance,EU,https://www.edpb.europa.eu/documents/support-pool-of-experts/edpb-website-auditing-tool_en,no_pdf_link,ok,html,yes,,,"The named item is a software tool, not a document. Page describes it and links out to code.europa.eu for download; not a PDF."
Cookie Compliance,EDPB and European Commission joint guidelines on the interplay between the Digital Markets Act and the GDPR (draft for consultation),9 October 2025,regulator guidance,EU,https://www.edpb.europa.eu/news/news/2025/dma-and-gdpr-edpb-and-european-commission-endorse-joint-guidelines-clarify-common_en,no_pdf_link,ok,html,yes,,,News article live and matches the title; guidelines were still in draft/consultation per the page text.
Cookie Compliance,EDPB work programme 2026-2027 (consent or pay guidelines in preparation),12 February 2026,regulator guidance,EU,https://www.edpb.europa.eu/news/edpb-work-programme-2026-2027-easing-compliance-and-strengthening-cooperation-across-the_en,no_pdf_link,ok,html_with_pdf,yes,,,News announcement summarizing the work programme; it links to the full downloadable work programme document but the fetch did not surface that PDF's URL.
Cookie Compliance,"EDPB, article 65 binding decision requiring the Belgian DPA to examine a noyb cookie banner complaint against VRT on the merits",14 July 2026,regulator guidance,Belgium,https://www.edpb.europa.eu/news/edpb-requires-belgian-dpa-to-handle-the-merits-of-noyb-cookie-banner-complaint_en,no_pdf_link,ok,html,yes,,,"News article, full text inline; no PDF."
Cookie Compliance,European Commission acceptance of Meta's DMA commitments on personalised advertising choice,8 December 2025,enforcement,EU,https://digital-markets-act.ec.europa.eu/meta-commits-give-eu-users-choice-personalised-ads-under-digital-markets-act-2025-12-08_en,no_pdf_link,ok,html,yes,,,"Live Commission news article, HTML only."
Cookie Compliance,"European Commission non-compliance decision against Meta under Article 5(2) DMA (consent or pay model), fine of 200 million euro",23 April 2025,enforcement,EU,https://ec.europa.eu/commission/presscorner/detail/en/ip_25_1085,no_pdf_link,ok,html,yes,,,Commission press release on the DMA non-compliance decisions against Apple and Meta (Meta's part covers Art. 5(2) pay-or-consent); full text is HTML.
Cookie Compliance,"FTC Health Breach Notification Rule, 16 CFR Part 318, 2024 final amendments",26 April 2024,legislation,United States (federal),https://www.ftc.gov/news-events/news/press-releases/2024/04/ftc-finalizes-changes-health-breach-notification-rule,no_pdf_link,ok,html,yes,,,"Live press release, HTML only."
Cookie Compliance,FTC Policy Statement on COPPA and age verification technologies,25 February 2026,regulator guidance,United States (federal),https://www.ftc.gov/news-events/news/press-releases/2026/02/ftc-issues-coppa-policy-statement-incentivize-use-age-verification-technologies-protect-children,no_pdf_link,ok,html_with_pdf,no,,,This is the press release announcing the statement; the actual 'Enforcement Policy Statement' is a separate linked document whose URL was not captured.
Cookie Compliance,"FTC v. Kochava Inc., stipulated final order banning sale of sensitive location data",4 May 2026,enforcement,United States (federal),https://www.ftc.gov/news-events/news/press-releases/2026/05/ftc-ban-kochava-subsidiary-selling-sensitive-location-data-settle-charges-they-sold-location-data,no_pdf_link,ok,html,yes,,,Full press release text as HTML on the page.
Cookie Compliance,"GB/T 35273-2020, Information security technology: Personal information security specification",1 October 2020,standard,China,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=4568F276E0F8346EB0FBA097AA0CE05E,no_pdf_link,ok,viewer,yes,,,"Correct standard's catalog/detail page; text sits behind separate 'online preview' and 'download standard' actions, no direct file URL exposed."
Cookie Compliance,"Garante per la protezione dei dati personali, Linee guida cookie e altri strumenti di tracciamento (provvedimento n. 231)",10 June 2021,regulator guidance,Italy,https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9677876,no_pdf_link,ok,html,yes,,,Full guidelines text embedded as HTML on the docweb page.
Cookie Compliance,"Garante, provvedimento n. 670: warning and compliance order after Guardia di Finanza cookie inspections of e-commerce sites",13 November 2024,enforcement,Italy,https://www.garanteprivacy.it/home/docweb/-/docweb-display/docweb/10093485,no_pdf_link,ok,html,yes,,,Full administrative decision text rendered as HTML.
Cookie Compliance,"General Data Protection Regulation (EU) 2016/679, Articles 4(11), 6, 7 and 25 and Recital 30",25 May 2018,legislation,EU,https://eur-lex.europa.eu/eli/reg/2016/679/oj,no_pdf_link,ok,viewer,yes,,,"Correct GDPR landing page, but EUR-Lex renders the actual article text via a JS-driven tab/viewer interface, so a static fetch only sees the header and metadata."
Cookie Compliance,Google EU user consent policy,31 July 2024,standard,Standards,https://www.google.com/about/company/user-consent-policy/,no_pdf_link,ok,html,yes,,,Full policy text embedded as HTML.
Cookie Compliance,Google Privacy Sandbox: a new path for Privacy Sandbox on the web (third-party cookie reversal),22 July 2024,standard,Standards,https://privacysandbox.google.com/blog/privacy-sandbox-update,no_pdf_link,ok,html,yes,,,Blog post rendered as HTML; no PDF was ever available.
Cookie Compliance,Google Privacy Sandbox: next steps for Privacy Sandbox and tracking protections in Chrome,22 April 2025,standard,Standards,https://privacysandbox.google.com/blog/privacy-sandbox-next-steps,no_pdf_link,ok,html,yes,,,"Live blog post (22 Apr 2025), matches title; HTML only."
Cookie Compliance,Google Privacy Sandbox: update on plans for Privacy Sandbox technologies (API retirement),17 October 2025,standard,Standards,https://privacysandbox.google.com/blog/update-on-plans-for-privacy-sandbox-technologies,no_pdf_link,ok,html,yes,,,"Live blog post matching the title, content is HTML only."
Cookie Compliance,"Google certified CMP requirement for ads in the EEA, UK and Switzerland",16 January 2024,standard,Standards,https://support.google.com/admanager/answer/13554116?hl=en,no_pdf_link,ok,html,yes,,,"Full help article inline, including the certified-CMP table; no PDF."
Cookie Compliance,Google consent mode v2 requirement for EEA traffic,1 March 2024,standard,Standards,https://support.google.com/analytics/answer/14275483?hl=en,no_pdf_link,ok,html,yes,,,"Support article on EEA consent settings, matches the named topic (consent mode v2 requirement)."
Cookie Compliance,"HHS Office for Civil Rights, Use of Online Tracking Technologies by HIPAA Covered Entities and Business Associates",26 June 2024,regulator guidance,United States (federal),https://www.hhs.gov/hipaa/for-professionals/privacy/guidance/hipaa-online-tracking/index.html,403,ok,html,yes,,,Guidance bulletin text is embedded directly on the page.
