Date,Type,Title,Rating (R relevant / B background / N not relevant),Where it lands on the site,URL
03 June 2024,Opinion of the Board (Art. 64),Opinion 10/2024 on the draft decision of the competent supervisory authority of Sweden regarding the approval of the requirements for accreditation of a certification body pursuant to Article 43.3 (GDPR),N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-102024-on-the-draft-decision-of-the-competent_en
27 May 2024,Opinion of the Board (Art. 64),Opinion 9/2024 on the draft decision of the Romanian Supervisory Authority regarding the Processor Binding Corporate Rules of the Genpact Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-92024-on-the-draft-decision-of-the-romanian_en
27 May 2024,"Reports, statements, and letters",Statement 2/2024 on the financial data access and payments package,N,,https://www.edpb.europa.eu/documents/reports-statements-and-letters/statement-22024-on-the-financial-data-access-and-payments_en
24 May 2024,Opinion of the Board (Art. 64),"Opinion 11/2024 on the use of facial recognition to streamline airport passengers' flow (compatibility with Articles 5(1)(e) and(f), 25 and 32 GDPR)",R,Topic 9 biometrics,https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-112024-on-the-use-of-facial-recognition-to-streamline_en
24 May 2024,Task force report,Report of the work undertaken by the ChatGPT Taskforce,R,Topic 13; AI Act section 13; AI Risk tool,https://www.edpb.europa.eu/documents/task-force-report/report-of-the-work-undertaken-by-the-chatgpt-taskforce_en
24 April 2024,Other guidance,Information Note on the Data Privacy Framework redress mechanism for national security purposes,B,Transfers,https://www.edpb.europa.eu/documents/other-guidance/information-note-on-the-data-privacy-framework-redress-mechanism-for_en
24 April 2024,Procedure,Template Complaint Form to the U.S. Office of the Director of National Intelligence's Civil Liberties Protection Officer (CLPO),N,EDPB internal procedure,https://www.edpb.europa.eu/documents/procedure/template-complaint-form-to-the-us-office-of-the-director-of-national_en
24 April 2024,Procedure,"Rules of Procedure for the ""Informal Panel of EU DPAs"" according to the EU-US Data Privacy Framework",N,EDPB internal procedure,https://www.edpb.europa.eu/documents/procedure/rules-of-procedure-for-the-informal-panel-of-eu-dpas-according-to-the-eu-us_en
24 April 2024,Procedure,Rules of Procedure on the Data Privacy Framework redress mechanism for national security purposes,N,EDPB internal procedure,https://www.edpb.europa.eu/documents/procedure/rules-of-procedure-on-the-data-privacy-framework-redress-mechanism-for-national_en
24 April 2024,Procedure,EU-US Data Privacy Framework Template Complaint Form for Submitting Commercial Related Complaints to EU DPAs,N,EDPB internal procedure,https://www.edpb.europa.eu/documents/procedure/eu-us-data-privacy-framework-template-complaint-form-for-submitting-commercial_en
23 April 2024,"Reports, statements, and letters",EDPB Annual Report 2023,N,Institutional report,https://www.edpb.europa.eu/documents/reports-statements-and-letters/edpb-annual-report-2023_en
19 April 2024,Opinion of the Board (Art. 64),Opinion 7/2024 on the draft decision of the German North Rhine Westphalia Supervisory Authority regarding the EU Cloud Service Data Protection (Auditor) certification criteria,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-72024-on-the-draft-decision-of-the-german-north-rhine_en
18 April 2024,"Reports, statements, and letters",EDPB Strategy 2024-2027,N,Institutional report,https://www.edpb.europa.eu/documents/reports-statements-and-letters/edpb-strategy-2024-2027_en
18 April 2024,Opinion of the Board (Art. 64),Opinion 6/2024 on the draft list of the Latvian SA on pro-cessing operations exempt from the data protection impact assessment requirement (Art. 35.5 GDPR),N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-62024-on-the-draft-list-of-the-latvian-sa-on-pro_en
17 April 2024,Opinion of the Board (Art. 64),Opinion 08/2024 on Valid Consent in the Context of Consent or Pay Models Implemented by Large Online Platforms,R,Topics 10 and 15,https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-082024-on-valid-consent-in-the-context-of-consent-or_en
17 April 2024,Support Pool of Experts,Report on the extraterritorial enforcement of the GDPR,N,,https://www.edpb.europa.eu/documents/support-pool-of-experts/report-on-the-extraterritorial-enforcement-of-the-gdpr_en
14 March 2024,Opinion of the Board (Art. 64),Opinion 05/2024 on the draft decision of the Spanish Supervisory Authority regarding the Controller Binding Corporate Rules of the MAPFRE Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-052024-on-the-draft-decision-of-the-spanish_en
14 February 2024,"Reports, statements, and letters",Statement 1/2024 on legislative developments regarding the Proposal for a Regulation laying down rules to prevent and combat child sexual abuse,N,,https://www.edpb.europa.eu/documents/reports-statements-and-letters/statement-12024-on-legislative-developments-regarding-the_en
13 February 2024,Opinion of the Board (Art. 64),Opinion 3/2024 on the draft decision of the Irish Supervisory Authority regarding the Processor Binding Corporate Rules of the Accenture Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-32024-on-the-draft-decision-of-the-irish-supervisory_en
13 February 2024,Opinion of the Board (Art. 64),Opinion 04/2024 on the notion of main establishment of a controller in the Union under Art. 4.16(a) GDPR,N,Art 64 opinion on a matter outside the site's scope,https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-042024-on-the-notion-of-main-establishment-of-a_en
13 February 2024,Opinion of the Board (Art. 64),Opinion 2/2024 on the draft decision of the Spanish Supervisory Authority regarding the Controller Binding Corporate Rules of the TELEFÓNICA Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-22024-on-the-draft-decision-of-the-spanish_en
29 January 2024,Support Pool of Experts,EDPB website auditing tool,R,Topic 15; cookie scanner comparison,https://www.edpb.europa.eu/documents/support-pool-of-experts/edpb-website-auditing-tool_en
18 January 2024,Support Pool of Experts,One-Stop-Shop case digest on Security of Processing and Data Breach Notification,R,Incident tool; topic 16,https://www.edpb.europa.eu/documents/support-pool-of-experts/one-stop-shop-case-digest-on-security-of-processing-and-data_en
17 January 2024,Coordinated Enforcement Framework,"Coordinated Enforcement Action, Designation and Position of Data Protection Officers",R,Readiness governance activities (Arts 37 to 39); WP243,https://www.edpb.europa.eu/documents/coordinated-enforcement-framework/coordinated-enforcement-action-designation-and-position_en
16 January 2024,Opinion of the Board (Art. 64),Opinion 01/2024 on the draft decision of the Dutch Supervisory Authority regarding the Processor Binding Corporate Rules of the Booking.com Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-012024-on-the-draft-decision-of-the-dutch-supervisory_en
28 December 2023,Opinion of the Board (Art. 64),Opinion 36/2023 on the draft decision of the Dutch Supervisory Authority regarding the Controller Binding Corporate Rules of the Booking.com Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-362023-on-the-draft-decision-of-the-dutch-supervisory_en
21 December 2023,Opinion of the Board (Art. 64),Opinion 38/2023 on the draft decision of the competent supervisory authority of Slovenian regarding the approval of the requirements for accreditation of a certification body pursuant to Art. 43.3,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-382023-on-the-draft-decision-of-the-competent_en
21 December 2023,Opinion of the Board (Art. 64),Opinion 37/2023 on the draft decision of the competent supervisory authority of Luxemburg regarding the approval of the requirements for accreditation of a certification body pursuant to Art. 43.3,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-372023-on-the-draft-decision-of-the-competent_en
20 December 2023,Opinion of the Board (Art. 64),Opinion 34/2023 on the draft decision of the Hesse Supervisory Authority (Germany) regarding the Processor Binding Corporate Rules of the Cerner Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-342023-on-the-draft-decision-of-the-hesse-supervisory_en
20 December 2023,Opinion of the Board (Art. 64),Opinion 35/2023 on the draft decision of the Danish Supervisory Authority regarding the Controller Binding Corporate Rules of the Carlsberg Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-352023-on-the-draft-decision-of-the-danish_en
20 December 2023,Opinion of the Board (Art. 64),Opinion 33/2023 on the draft decision of the Hesse Supervisory Authority (Germany) regarding the Controller Binding Corporate Rules of the Cerner Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-332023-on-the-draft-decision-of-the-hesse-supervisory_en
15 December 2023,"Reports, statements, and letters",Contribution of the EDPB to the report on the application of the GDPR under Article 97 - 2023,N,,https://www.edpb.europa.eu/documents/reports-statements-and-letters/contribution-of-the-edpb-to-the-report-on-the-application_en
28 November 2023,Opinion of the Board (Art. 64),Opinion 27/2023 on the draft decision of the French Supervisory Authority regarding the Processor Binding Corporate Rules of the Tessi Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-272023-on-the-draft-decision-of-the-french_en
28 November 2023,Internal procedural guidance,EDPB Best practices for the organisation of EDPB Plenary meetings,N,EDPB internal procedure,https://www.edpb.europa.eu/documents/internal-procedural-guidance/edpb-best-practices-for-the-organisation-of-edpb-plenary_en
28 November 2023,Opinion of the Board (Art. 64),Opinion 32/2023 on the draft decision of the French Supervisory Authority regarding the Processor Binding Corporate Rules of the Thalès Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-322023-on-the-draft-decision-of-the-french_en
28 November 2023,Opinion of the Board (Art. 64),Opinion 31/2023 on the draft decision of the French Supervisory Authority regarding the Controller Binding Corporate Rules of the Thalès Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-312023-on-the-draft-decision-of-the-french_en
28 November 2023,Opinion of the Board (Art. 64),Opinion 26/2023 on the draft decision of the Romanian Supervisory Authority regarding the Processor Binding Corporate Rules of the OSF Global Services Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-262023-on-the-romanian_en
28 November 2023,Opinion of the Board (Art. 64),Opinion 30/2023 on the draft decision of the French Supervisory Authority regarding the Processor Binding Corporate Rules of the Sodexo Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-302023-on-the-french_en
28 November 2023,Opinion of the Board (Art. 64),Opinion 29/2023 on the draft decision of the French Supervisory Authority regarding the Controller Binding Corporate Rules of the Sodexo Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-292023-on-the-french_en
28 November 2023,Opinion of the Board (Art. 64),Opinion 28/2023 on the draft decision of the French Supervisory Authority regarding the Controller Binding Corporate Rules of the Servier Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-282023-on-the-french_en
16 November 2023,Opinion of the Board (Art. 64),Opinion 20/2023 on the draft decision of the Dutch Supervisory Authority regarding the Controller Binding Corporate Rules of the Comcast Corporation Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-202023-on-the-draft-decision-of-the-dutch-supervisory_en
16 November 2023,Opinion of the Board (Art. 64),Opinion 24/2023 on the draft decision of the French Supervisory Authority regarding the Controller Binding Corporate Rules of the Nestlé Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-242023-on-the-french_en
16 November 2023,Opinion of the Board (Art. 64),Opinion 25/2023 on the draft decision of the Dutch Supervisory Authority regarding the Controller Binding Corporate Rules of the SHV Holding N.V. Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-252023-on-the-draft-decision-of-the-dutch-supervisory_en
16 November 2023,Opinion of the Board (Art. 64),Opinion 21/2023 on the draft decision of the Belgian Supervisory Authority regarding the Processor Binding Corporate Rules of the UPS Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-212023-on-the-draft-decision-of-the-belgian_en
16 November 2023,Opinion of the Board (Art. 64),Opinion 22/2023 on the draft decision of the Belgian Supervisory Authority regarding the Controller Binding Corporate Rules for employee data of the UPS Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-222023-on-the-draft-decision-of-the-belgian_en
16 November 2023,Opinion of the Board (Art. 64),Opinion 23/2023 on the draft decision of the Belgian Supervisory Authority regarding the Controller Binding Corporate Rules for customer data of the UPS Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-232023-on-the-draft-decision-of-the-belgian_en
16 November 2023,Opinion of the Board (Art. 64),Opinion 19/2023 on the draft decision of the Dutch Supervisory Authority regarding the Controller Binding Corporate Rules of the American Express Global Business Travel Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-192023-on-the-draft-decision-of-the-dutch-supervisory_en
07 November 2023,Opinion of the Board (Art. 64),Opinion 18/2023 on the draft decision of the Belgian Supervisory Authority regarding the Processor Binding Corporate Rules of the Collibra Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-182023-on-the-draft-decision-of-the-belgian_en
27 October 2023,EDPB Binding Decisions,Urgent Binding Decision 01/2023 requested by the Norwegian SA for the ordering of final measures regarding Meta Platforms Ireland Ltd (Art. 66(2) GDPR),B,Topic 18: behavioural advertising ban,https://www.edpb.europa.eu/documents/edpb-binding-decisions/urgent-binding-decision-012023-requested-by-the-norwegian-sa-for_en
17 October 2023,Legislative opinion,EDPB-EDPS Joint Opinion 02/2023 on the Proposal for a Regulation of the European Parliament and of the Council on the establishment of the digital euro,N,,https://www.edpb.europa.eu/documents/legislative-opinion/edpb-edps-joint-opinion-022023-on-the-proposal-for-a-regulation-of_en
28 September 2023,Opinion of the Board (Art. 64),Opinion 16/2023 on the draft decision of the Irish Supervisory Authority regarding the Controller Binding Corporate Rules of the Informatica Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-162023-on-the-draft-decision-of-the-irish-supervisory_en
28 September 2023,Opinion of the Board (Art. 64),Opinion 17/2023 on the draft decision of the Irish Supervisory Authority regarding the Processor Binding Corporate Rules of the Informatica Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-172023-on-the-draft-decision-of-the-irish-supervisory_en
20 September 2023,Internal procedural guidance,Decision of the European Data Protection Board on Records management,N,EDPB internal procedure,https://www.edpb.europa.eu/documents/internal-procedural-guidance/decision-of-the-european-data-protection-board-on-records_en
20 September 2023,Other policy document,Joint EDPB-EDPS contribution to the public consultation on the draft template relating to the description of consumer profiling techniques (Art.15 DMA),N,,https://www.edpb.europa.eu/documents/other-policy-document/joint-edpb-edps-contribution-to-the-public-consultation-on-the_en
19 September 2023,Legislative opinion,EDPB-EDPS Joint Opinion 01/2023 on the Proposal for a Regulation of the European Parliament and of the Council laying down additional procedural rules relating to the enforcement of Regulation (EU) 2016/679,N,,https://www.edpb.europa.eu/documents/legislative-opinion/edpb-edps-joint-opinion-012023-on-the-proposal-for-a-regulation-of_en
19 September 2023,Opinion of the Board (Art. 64),Opinion 15/2023 on the draft decision of the Dutch Supervisory Authority regarding the Brand Compliance certification criteria,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-152023-on-the-draft-decision-of-the-dutch-supervisory_en
02 August 2023,EDPB Binding Decisions,Binding Decision 2/2023 on the dispute submitted by the Irish SA regarding TikTok Technology Limited (Art. 65 GDPR),B,"Topic 18: children's data, TikTok",https://www.edpb.europa.eu/documents/edpb-binding-decisions/binding-decision-22023-on-the-dispute-submitted-by-the-irish-sa_en
27 July 2023,Opinion of the Board (Art. 64),Opinion 14/2023 on the draft decision of the Danish Supervisory Authority regarding the Controller Binding Corporate Rules of the Vestas Wind Systems Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-142023-on-the-draft-decision-of-the-danish_en
18 July 2023,Other guidance,Information note on data transfers under the GDPR to the United States after the adoption of the adequacy decision on 10 July 2023,B,Transfers,https://www.edpb.europa.eu/documents/other-guidance/information-note-on-data-transfers-under-the-gdpr-to-the-united-states_en
18 July 2023,"Reports, statements, and letters",Statement 1/2023 on the first review of the functioning of the adequacy decision for Japan,N,,https://www.edpb.europa.eu/documents/reports-statements-and-letters/statement-12023-on-the-first-review-of-the-functioning-of_en
11 July 2023,Opinion of the Board (Art. 64),Opinion 13/2023 on the draft decision of the competent supervisory authority of Croatia regarding the approval of the requirements for accreditation of a certification body pursuant to Article 43.3 (GDPR),N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-132023-on-the-draft-decision-of-the-competent_en
11 July 2023,Opinion of the Board (Art. 64),Opinion 11/2023 on the draft decision of the competent supervisory authority of Sweden regarding the approval of the requirements for accreditation of a code of conduct monitoring body pursuant to article 41 GDPR,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-112023-on-the-draft-decision-of-the-competent_en
11 July 2023,Opinion of the Board (Art. 64),Opinion 12/2023 on the draft decision of the competent supervisory authority of Cyprus regarding the approval of the requirements for accreditation of a certification body pursuant to Article 43.3 (GDPR),N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-122023-on-the-draft-decision-of-the-competent_en
30 June 2023,Opinion of the Board (Art. 64),Opinion 10/2023 on the draft decision of the Spanish Supervisory Authority regarding the Controller Binding Corporate Rules of the PROSEGUR Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-102023-on-the-draft-decision-of-the-spanish_en
20 June 2023,Other guidance,Template Complaint form and Template Acknowledgement of receipt,N,,https://www.edpb.europa.eu/documents/other-guidance/template-complaint-form-and-template-acknowledgement-of-receipt_en
20 June 2023,Recommendation,Recommendations 1/2022 on the Application for Approval and on the elements and principles to be found in Controller Binding Corporate Rules (Art. 47 GDPR),B,Transfer safeguard option,https://www.edpb.europa.eu/documents/recommendation/recommendations-12022-on-the-application-for-approval-and-on-the-elements_en
24 May 2023,Guideline,Guidelines 03/2021 on the application of Article 65(1)(a) GDPR,N,,https://www.edpb.europa.eu/documents/guideline/guidelines-032021-on-the-application-of-article-651a-gdpr_en
24 May 2023,Guideline,Guidelines 04/2022 on the calculation of administrative fines under the GDPR,B,Topic 14 context,https://www.edpb.europa.eu/documents/guideline/guidelines-042022-on-the-calculation-of-administrative-fines-under-the-gdpr_en
17 May 2023,Guideline,Guidelines 05/2022 on the use of facial recognition technology in the area of law enforcement,N,,https://www.edpb.europa.eu/documents/guideline/guidelines-052022-on-the-use-of-facial-recognition-technology-in-the-area-of_en
17 May 2023,Opinion of the Board (Art. 64),Opinion 9/2023 on the draft decision of the Italian Supervisory Authority regarding the Controller Binding Corporate Rules of Vertiv,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-92023-on-the-draft-decision-of-the-italian_en
05 May 2023,Opinion of the Board (Art. 64),Opinion 7/2023 on the draft decision of the Irish Supervisory Authority regarding the Controller Binding Corporate Rules of Autodesk Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-72023-on-the-draft-decision-of-the-irish-supervisory_en
05 May 2023,Opinion of the Board (Art. 64),Opinion 8/2023 on the draft decision of the Irish Supervisory Authority regarding the Processor Binding Corporate Rules of Autodesk Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-82023-on-the-draft-decision-of-the-irish-supervisory_en
19 April 2023,Task force report,Report of the work undertaken by the supervisory authorities within the 101 Taskforce,B,"Transfers, analytics tools",https://www.edpb.europa.eu/documents/task-force-report/report-of-the-work-undertaken-by-the-supervisory-authorities-within-the_en
17 April 2023,Guideline,Guidelines 01/2022 on data subject rights - Right of access,R,Topic 8,https://www.edpb.europa.eu/documents/guideline/guidelines-012022-on-data-subject-rights-right-of-access_en
17 April 2023,"Reports, statements, and letters",EDPB Annual Report 2022,N,Institutional report,https://www.edpb.europa.eu/documents/reports-statements-and-letters/edpb-annual-report-2022_en
17 April 2023,Guideline,Guidelines 8/2022 on identifying a controller or processor's lead supervisory authority,B,"Topic 14, one-stop-shop",https://www.edpb.europa.eu/documents/guideline/guidelines-82022-on-identifying-a-controller-or-processors-lead-supervisory_en
13 April 2023,Legal study by external providers,Study on the national administrative rules impacting the cooperation duties for the national supervisory authorities,N,,https://www.edpb.europa.eu/documents/legal-study-by-external-suppliers/study-on-the-national-administrative-rules-impacting_en
13 April 2023,Legal study by external providers,Study on the enforcement of GDPR obligations against entities established outside the EEA but falling under Article 3(2) GDPR,N,,https://www.edpb.europa.eu/documents/legal-study-by-external-suppliers/study-on-the-enforcement-of-gdpr-obligations-against_en
13 April 2023,EDPB Binding Decisions,Binding Decision 1/2023 on the dispute submitted by the Irish SA on data transfers by Meta Platforms Ireland Limited for its Facebook service (Art. 65 GDPR),B,Transfers: Meta EUR 1.2bn,https://www.edpb.europa.eu/documents/edpb-binding-decisions/binding-decision-12023-on-the-dispute-submitted-by-the-irish-sa-on_en
04 April 2023,Guideline,Guidelines 9/2022 on personal data breach notification under GDPR,R,Incident tool; topic 16,https://www.edpb.europa.eu/documents/guideline/guidelines-92022-on-personal-data-breach-notification-under-gdpr_en
01 April 2023,Legal study by external providers,Legal study on government access to data in third countries - Brazil,B,TIA reference,https://www.edpb.europa.eu/documents/legal-study-by-external-suppliers/legal-study-on-government-access-to-data-in-third-0_en
01 April 2023,Legal study by external providers,Legal study on government access to data in third countries - Mexico and Turkey,B,TIA reference,https://www.edpb.europa.eu/documents/legal-study-by-external-suppliers/legal-study-on-government-access-to-data-in-third-1_en
23 March 2023,Opinion of the Board (Art. 64),Opinion 6/2023 on the draft decision of the Danish Supervisory Authority regarding the Controller Binding Corporate Rules of Royal Greenland Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-62023-on-the-draft-decision-of-the-danish-supervisory_en
28 February 2023,Adequacy,Opinion 5/2023 on the European Commission Draft Implementing Decision on the adequate protection of personal data under the EU-US Data Privacy Framework,B,Adequacy opinions: the resulting decisions feed the Privacy Assessment transfer safeguards list,https://www.edpb.europa.eu/documents/adequacy/opinion-52023-on-the-european-commission-draft-implementing-decision-on-the_en
27 February 2023,Procedure,EDPB Document on the procedure for the adoption of the EDPB opinions regarding national criteria for certification and European Data Protection Seals,N,EDPB internal procedure,https://www.edpb.europa.eu/documents/procedure/edpb-document-on-the-procedure-for-the-adoption-of-the-edpb-opinions-regarding_en
24 February 2023,Guideline,Guidelines 03/2022 on deceptive design patterns in social media platform interfaces: how to recognise and avoid them,R,Topics 10 and 15,https://www.edpb.europa.eu/documents/guideline/guidelines-032022-on-deceptive-design-patterns-in-social-media-platform_en
24 February 2023,Guideline,Guidelines 05/2021 on the Interplay between the application of Article 3 and the provisions on international transfers as per Chapter V of the GDPR,R,Privacy Assessment: remote access is a transfer,https://www.edpb.europa.eu/documents/guideline/guidelines-052021-on-the-interplay-between-the-application-of-article-3-and-the_en
24 February 2023,Guideline,Guidelines 07/2022 on certification as a tool for transfers,N,,https://www.edpb.europa.eu/documents/guideline/guidelines-072022-on-certification-as-a-tool-for-transfers_en
22 February 2023,"Reports, statements, and letters",EDPB Work Programme 2023-2024,N,Institutional report,https://www.edpb.europa.eu/documents/reports-statements-and-letters/edpb-work-programme-2023-2024_en
17 February 2023,Opinion of the Board (Art. 64),Opinion 02/2023 on the draft decision of the competent supervisory authority of Latvia regarding the approval of the requirements for accreditation of a code of conduct monitoring body pursuant to Article 41 GDPR,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-022023-on-the-draft-decision-of-the-competent_en
17 February 2023,Opinion of the Board (Art. 64),Opinion 03/2023 on the draft decision of the competent supervisory authority of Romania regarding the approval of the requirements for accreditation of a code of conduct monitoring body pursuant to article 41 GDPR,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-032023-on-the-draft-decision-of-the-competent_en
17 February 2023,Opinion of the Board (Art. 64),Opinion 4/2023 on the draft decision of the competent supervisory authority of Malta regarding the approval of the requirements for accreditation of a certification body pursuant to Article 43.3 (GDPR),N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-42023-on-the-draft-decision-of-the-competent_en
17 February 2023,Opinion of the Board (Art. 64),Opinion 1/2023 on the draft decision of the competent supervisory authority of Croatia regarding the approval of the requirements for accreditation of a code of conduct monitoring body pursuant to Article 41 GDPR,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-12023-on-the-draft-decision-of-the-competent_en
