Digest,Entry,Title,Source page,PDF to download,Link source,Verification verdict,Note
EDPB,edpb-42,"Rules of Procedure for the ""Informal Panel of EU DPAs"" according to the EU-U.S. Data Privacy Framework - version 2.0",https://www.edpb.europa.eu/documents/procedure/rules-of-procedure-for-the-informal-panel-of-eu-dpas-according-to-the-eu-us-0_en,https://www.edpb.europa.eu/system/files/2026-04/dpf_rules-of-procedure_informal-panel-dpas_v2_en.pdf,probe,confirmed,"Confirmed version 2.0 of the Informal Panel rules; governs DPA-to-DPA panel procedure for DPF complaints, not a direct obligation on controllers or processors. PDF is dated 15 January 2026 versus the digest's 23 January 2026, but that date is not part of the takeaway text."
EDPB,edpb-420,Guidelines 05/2020 on consent under Regulation 2016/679,https://www.edpb.europa.eu/documents/guideline/guidelines-052020-on-consent-under-regulation-2016679_en,https://www.edpb.europa.eu/system/files/documents/files/file1/edpb_guidelines_202005_consent_en.pdf,probe,confirmed,"Title, date and the replacement of WP259 rev.01 are confirmed, as are the cookie-wall, pre-ticked-box and public-authority/employer imbalance-of-power points."
EDPB,edpb-43,EU-US Data Privacy Framework FAQ for European individuals - version 2.0,https://www.edpb.europa.eu/documents/other-guidance/eu-us-data-privacy-framework-faq-for-european-individuals-version-20_en,https://www.edpb.europa.eu/system/files/2026-04/edpb_dpf_faq-for-individuals_v2_en.pdf,probe,confirmed,"Rights, 45-day company response window, DPA/EDPB template route, informal panel for HR Data or opted-in companies, referral to FTC/DoC/OACP, and version 2.0 replacing the July 2024 version all check out."
EDPB,edpb-431,Contribution of the EDPB to the evaluation of the GDPR under Article 97,https://www.edpb.europa.eu/documents/reports-statements-and-letters/contribution-of-the-edpb-to-the-evaluation-of-the-gdpr_en,https://www.edpb.europa.eu/system/files/documents/files/file1/edpb_contributiongdprevaluation_20200218.pdf,probe,confirmed,"Confirmed as the EDPB's contribution to the Commission's Article 97 evaluation, dated 18 February 2020."
EDPB,edpb-436,Guidelines 3/2019 on processing of personal data through video devices,https://www.edpb.europa.eu/documents/guideline/guidelines-32019-on-processing-of-personal-data-through-video-devices_en,https://www.edpb.europa.eu/system/files/documents/files/file1/edpb_guidelines_201903_video_devices_en_0.pdf,probe,confirmed,"Household exemption, Art 6(1)(f) closure to public authorities, consent, biometric/Art 9(2), layered notice, retention and DPIA points all quoted directly from the PDF (paras 12, 23, 46, 75, 111, 121, 136)."
EDPB,edpb-44,EU-US Data Privacy Framework Template Complaint Form for Submitting Complaints to EU DPAs related to the Data Privacy Framework Principles - version 2.0,https://www.edpb.europa.eu/documents/other-guidance/eu-us-data-privacy-framework-template-complaint-form-for-submitting_en,https://www.edpb.europa.eu/system/files/2026-04/dpf_template-complaint-form_commercial-complaints_v2_en_1.pdf,probe,confirmed,"Title, version 2.0, and purpose (DPF commercial complaint form for individuals) confirmed; only the date field is slightly off from the PDF's stated adoption date."
EDPB,edpb-450,Guidelines 2/2019 on the processing of personal data under Article 6(1)(b) GDPR in the context of the provision of online services to data subjects,https://www.edpb.europa.eu/documents/guideline/guidelines-22019-on-the-processing-of-personal-data-under-article-61b-gdpr-in_en,https://www.edpb.europa.eu/system/files/documents/files/file1/edpb_guidelines-art_6-1-b-adopted_after_public_consultation_en.pdf,probe,confirmed,"Behavioural advertising and service improvement are ruled out, fraud prevention is 'likely to go beyond' necessity, and personalisation depends on whether it is intrinsic to the service, all matching the guidelines' wording."
EDPB,edpb-456,EDPB Annual Report 2018,https://www.edpb.europa.eu/documents/reports-statements-and-letters/edpb-annual-report-2018_en,https://www.edpb.europa.eu/system/files/documents/files/file1/edpb_annual_report_2018_-_digital_final_1507_en.pdf,probe,confirmed,Cover confirms EDPB Annual Report 2018.
EDPB,edpb-520,Transparency,https://www.edpb.europa.eu/documents/guideline/transparency_en,https://www.edpb.europa.eu/system/files/2023-09/wp260rev01_en.pdf,probe,unverifiable,"The pdf_url is the correct file per the source page's own download link (wp260rev01_en.pdf), but every fetch attempt returned a 404, so the takeaway's specific claims could not be checked."
EDPB,edpb-523,Rules of Procedure - version 1,https://www.edpb.europa.eu/documents/rules-of-procedure/rules-of-procedure-version-1_en,https://www.edpb.europa.eu/system/files/documents/files/file1/edpb_rop_adopted_en_0.pdf,probe,confirmed,"Cover confirms EDPB Rules of Procedure, adopted 25 May 2018, matching the entry date."
EDPB,edpb-528,"Guidelines on the right to data portability under Regulation 2016/679, WP242 rev.01",https://www.edpb.europa.eu/documents/guideline/guidelines-on-the-right-to-data-portability-under-regulation-2016679-wp242_en,https://ec.europa.eu/newsroom/dae/redirection/document/44099,corrected by verification,wrong_file,"Source page's only on-domain PDF is an unrelated Danish DPA decision; the real WP242 rev.01 text lives at ec.europa.eu (found via the page's external link) but that host's robots.txt blocks fetching it, so the takeaway itself could not be checked."
EDPB,edpb-529,Memorandum of Understanding,https://www.edpb.europa.eu/documents/memorandum-of-understanding/memorandum-of-understanding_en,https://www.edpb.europa.eu/system/files/2026-09/memorandum_of_understanding_signed_en_0.pdf,probe,confirmed,"Confirmed as the EDPB-EDPS Memorandum of Understanding on secretariat, budget and HR administration under Article 75 GDPR, an internal arrangement with no controller or processor obligation."
